CF    DF    NF    BF    TC    MC    RC    SNL   GR    MS    WE    TU    DE    W     I     U
160   134   180   200   300   156   360   60    270   213   0     0     0     0     0     0     Gmax       [1]
0.1   0.13  0.13  0.03  0.01  0.019 0.02  0.01  0.01  0.014 0     0     0     0     0     0     fmin       [1]
1     6     4     4     12    0     8     1     12    4     0     0     0     0     0     0     TminC      [1]
18    20    20    20    26    25    24    18    26    20    20    20    20    20    20    20    Topt       [1]
36    34    37    37    40    51    50    36    40    37    40    40    40    40    40    40    Tmax       [1]
83e-4 6e-3  13e-3 9e-3  9e-3  48e-4 23e-4 9e-3  9e-3  12e-3 0     0     0     0     0     0     alpha      [1]
0.6   0.93  0.4   1.8   0.9   1.0   0.31  88.8  1.3   1.3   88.8  88.8  88.8  88.8  88.8  88.8  VPDmax     [1]
3.3   3.4   1.6   2.8   2.8   2.5   2.7   99.9  3.0   3.0   99.9  99.9  99.9  99.9  99.9  99.9  VPDmin     [1]
0     90    0     0     105   150   130   0     0     0     0     0     0     0     0     0     SGS        [2]
366   300   366   366   197   300   250   366   366   366   366   366   366   366   366   366   EGS        [2]
192   30    180   180   70    70    35    192   180   1     1     1     1     1     1     1     SGS length [2]
96    90    180   180   22    44    65    96    180   1     1     1     1     1     1     1     EGS length [2]
3.4   3.5   3.5   3.5   0     0     0     2.0   2.0   2.5   0     0     0     0     0     0     LAI min    [4]
4.5   5.0   3.5   3.5   3.5   3.0   4.2   3.0   3.5   2.5   0     0     0     0     0     0     LAI max    [4]
0.2   0.3   0.3   0.3   0.1   0.1   0.2   0.1   1     0.2   1     1     1     1     1     1     PHENa      [1]
130   50    110   110   0     0     20    0     0     130   0     0     0     0     0     0     PHENb      [1]
130   50    150   150   45    45    45    45    0     130   0     0     0     0     0     0     PHENc      [1]
20    20    20    20    1     2     0.5   1     1     2     0     0     0     0     0     0     Zcanopy    [0]
200   200   200   200   200   200   200   400   1000  200   2000  400   2000  2000  2000  400   RGSO3      [1]
0     0     0     0     0     0     0     0     0     0     1     500   1000  1     100   400   RGSSO2     [1]
0.85  0.85  0.85  0.85  0.75  0.75  0.75  0.75  0.75  0.75  0     0     0     0     0     0     so2RH      [1]

[0]: Estimation
[1]: Values from EMEP web site, model documentation
[2]: Growing season: corrections brought to EMEP web site:
     DF: EGS=300 instead of 270, SGS_len=30 instead of 56
[3]: CF, DF, BF, SN, GR, MS and NF from Asner et al. (2003)
     TC, MC and RC from EMEP web site
[4]: All from EMEP web site
