# Cat.   Roughness      Description

1      0.8              Urban and Built-Up Land
2      0.15             Dryland Cropland and Pasture
3      0.1              Irrigated Cropland and Pasture
4      0.15             Mixed Dryland/Irrigated Cropland and Pasture
5      0.14             Cropland/Grassland Mosaic
6      0.2              Cropland/Woodland Mosaic
7      0.12             Grassland
8      0.05             Shrubland
9      0.06             Mixed Shrubland/Grassland
10     0.15             Savanna
11     0.5              Deciduous Broadleaf Forest
12     0.5              Deciduous Needleleaf Forest
13     0.4              Evergreen Broadleaf Forest
14     0.5              Evergreen Needleleaf Forest
15     0.5              Mixed Forest
16     0.0001           Water Bodies
17     0.2              Herbaceous Wetland
18     0.4              Wooded Wetland
19     0.01             Barren or Sparsely Vegetated
20     0.1              Herbaceous Tundra
21     0.3              Wooded Tundra
22     0.15             Mixed Tundra
23     0.1              Bare Ground Tundra
24     0.05             Snow or Ice
