C10H16	 TERP
C2H4	 ETH
C2H5OH	 ETOH
C2H6	 ETHA
C3H6	 OLE 1.0 PAR 1.0
C3H8	 PAR 1.5
CH2O	 FORM
CH3CHO	 ALD2
CH3COCH3 PAR 3.0
CH3O2	 MEO2
CH3OH	 MEOH
CH3OOH	 MEPX
CH4	 CH4
CO	 CO
H2O2	 H2O2
HNO3	 HNO3
HO2	 HO2
HO2NO2	 HNO4
ISOP	 ISOP
N2O5	 N2O5
NO2	 NO2
NO3	 NO3
NO	 NO
O3       O3
OH	 OH
ONIT     NTR
PAN      PAN
BIGALD   OPEN
BIGALK   PAR 3.0
BIGENE   PAR 1.0 OLE 1.0
CH3COCHO MGLY
CH3COOH  AACD
CRESOL   CRES
GLYALD   ALD2
ISOPNO3  ISPD 1.0 ISON 1.0
MACR     ISPD 1.0 MACR 1.0
MPAN     ISPD 1.0 MPAN 1.0
MVK      ISPD 1.0
NH3      NH3
SO2	 SO2
TOLUENE  TOL
ONITR    NTR
CH3COOOH PACD
DMS	 PAR 2.0
MEK	 PAR 4.0
HYAC	 PAR 2.0
