STATIONS_ID;MESS_DATUM;QN_8;  FF;  DD;eor
       3379;2018042300;    3;   2.2; 230;eor
       3379;2018042301;    3;   3.1; 240;eor
       3379;2018042302;    3;   3.0; 240;eor
       3379;2018042303;    3;   1.9; 220;eor
       3379;2018042304;    3;   2.1; 240;eor
       3379;2018042305;    3;   1.6; 210;eor
       3379;2018042306;    3;   1.4; 250;eor
       3379;2018042307;    3;   2.8; 220;eor
       3379;2018042308;    3;   2.5; 280;eor
       3379;2018042309;    3;   2.5; 260;eor
       3379;2018042310;    3;   3.9; 290;eor
       3379;2018042311;    3;   5.1; 260;eor
       3379;2018042312;    3;   6.4; 300;eor
       3379;2018042313;    3;   4.8; 300;eor
       3379;2018042314;    3;   5.9; 340;eor
       3379;2018042315;    3;   6.1; 330;eor
       3379;2018042316;    3;   4.2; 320;eor
       3379;2018042317;    3;   4.8; 280;eor
       3379;2018042318;    3;   3.1; 260;eor
       3379;2018042319;    3;   2.7; 250;eor
       3379;2018042320;    3;   5.2; 260;eor
       3379;2018042321;    3;   4.7; 280;eor
       3379;2018042322;    3;   3.0; 240;eor
       3379;2018042323;    3;   4.4; 250;eor
       3379;2018042400;    3;   3.1; 250;eor
       3379;2018042401;    3;   3.1; 250;eor
       3379;2018042402;    3;   3.0; 250;eor
       3379;2018042403;    3;   4.2; 260;eor
       3379;2018042404;    3;   3.0; 260;eor
       3379;2018042405;    3;   2.8; 240;eor
       3379;2018042406;    3;   2.4; 230;eor
       3379;2018042407;    3;   2.6; 250;eor
       3379;2018042408;    3;   2.9; 290;eor
       3379;2018042409;    3;   3.3; 240;eor
       3379;2018042410;    3;   3.9; 250;eor
       3379;2018042411;    3;   4.8; 290;eor
       3379;2018042412;    3;   4.9; 290;eor
       3379;2018042413;    3;   5.0; 260;eor
       3379;2018042414;    3;   4.6; 290;eor
       3379;2018042415;    3;   4.8; 300;eor
       3379;2018042416;    3;   3.9; 310;eor
       3379;2018042417;    3;   4.3; 300;eor
       3379;2018042418;    3;   1.9; 270;eor
       3379;2018042419;    3;   1.2; 230;eor
       3379;2018042420;    3;   2.4; 200;eor
       3379;2018042421;    3;   2.3; 200;eor
       3379;2018042422;    3;   1.9; 200;eor
       3379;2018042423;    3;   1.9; 240;eor
       3379;2018042500;    3;   1.4; 220;eor
       3379;2018042501;    3;   1.7; 220;eor
       3379;2018042502;    3;   2.3; 220;eor
       3379;2018042503;    3;   1.7; 230;eor
       3379;2018042504;    3;   2.7; 220;eor
       3379;2018042505;    3;   3.3; 230;eor
       3379;2018042506;    3;   3.0; 230;eor
       3379;2018042507;    3;   3.9; 250;eor
       3379;2018042508;    3;   5.1; 250;eor
       3379;2018042509;    3;   4.8; 250;eor
       3379;2018042510;    3;   7.4; 260;eor
       3379;2018042511;    3;   7.3; 270;eor
